AdopterID,activity_level,home_type,home_size,pet_experience,available_time,kids_present,other_pets,pet_budget,insurance_willing,vet_commitment,air_conditioning_available,training_commitment,patience_level,grooming_tolerance,noise_tolerance,long_term_commitment
A1,low,apartment,small,intermediate,high,yes,no,high,no,low,yes,medium,high,high,medium,yes
A2,medium,apartment,small,beginner,low,no,yes,low,no,high,yes,low,low,high,low,yes
A3,medium,house,large,intermediate,low,yes,no,medium,yes,medium,no,medium,low,low,low,no
A4,high,apartment,medium,intermediate,medium,no,no,low,no,medium,yes,low,high,medium,low,no
A5,low,apartment,small,intermediate,high,yes,yes,high,yes,low,no,low,low,medium,low,yes
A6,low,apartment,large,intermediate,high,no,no,high,no,high,no,medium,medium,low,medium,yes
A7,low,apartment,small,beginner,high,yes,yes,low,yes,medium,no,high,low,medium,medium,yes
A8,medium,house,medium,experienced,medium,no,yes,high,yes,medium,yes,low,high,medium,high,no
A9,high,apartment,medium,experienced,medium,yes,no,medium,no,low,no,low,medium,high,medium,yes
A10,low,apartment,medium,intermediate,low,no,no,medium,no,low,no,high,low,medium,high,yes
A11,medium,apartment,small,experienced,high,yes,no,high,yes,low,no,high,low,low,medium,yes
A12,low,house,medium,intermediate,low,no,no,low,yes,medium,yes,high,medium,high,high,yes
A13,low,apartment,small,experienced,low,no,no,medium,yes,low,no,low,high,high,high,no
A14,low,apartment,large,beginner,high,no,yes,medium,yes,medium,no,medium,medium,high,medium,no
A15,medium,apartment,medium,beginner,medium,yes,no,medium,yes,high,yes,low,high,medium,medium,no
A16,high,apartment,small,experienced,high,no,no,high,no,high,yes,medium,low,medium,medium,yes
A17,medium,apartment,small,experienced,low,no,yes,low,yes,medium,no,medium,low,medium,low,no
A18,high,house,medium,experienced,medium,no,no,low,yes,low,yes,low,low,high,high,no
A19,high,apartment,small,beginner,medium,yes,no,high,yes,high,yes,high,medium,low,low,no
A20,medium,house,medium,experienced,low,no,yes,high,yes,high,yes,medium,medium,high,high,no
A21,medium,house,medium,intermediate,high,no,no,low,yes,low,yes,medium,high,low,medium,no
A22,low,apartment,medium,intermediate,medium,no,yes,medium,yes,high,no,medium,high,high,high,no
A23,high,apartment,medium,experienced,medium,no,no,high,yes,low,no,high,medium,low,low,no
A24,low,house,small,intermediate,medium,yes,no,low,no,low,no,high,low,high,medium,yes
A25,low,house,large,experienced,medium,no,no,high,no,medium,no,high,medium,medium,medium,no
A26,low,apartment,medium,beginner,medium,no,no,high,no,medium,no,medium,low,low,medium,yes
A27,high,apartment,medium,experienced,low,yes,yes,high,yes,medium,yes,medium,high,medium,medium,yes
A28,low,house,small,intermediate,high,no,yes,high,yes,medium,no,low,high,low,medium,no
A29,high,apartment,medium,beginner,high,no,yes,high,no,high,yes,high,high,low,low,no
A30,medium,apartment,medium,beginner,low,yes,no,low,no,medium,no,medium,low,medium,low,no
A31,high,apartment,small,beginner,high,yes,no,medium,yes,medium,yes,high,high,low,low,no
A32,high,house,medium,beginner,low,no,no,high,yes,medium,yes,low,low,low,low,yes
A33,high,apartment,medium,intermediate,medium,no,yes,low,yes,low,yes,high,low,high,medium,yes
A34,high,apartment,medium,experienced,low,no,no,low,yes,low,no,high,high,high,high,no
A35,low,house,medium,experienced,low,yes,yes,high,yes,low,no,low,high,high,low,no
A36,medium,apartment,medium,intermediate,high,no,yes,high,no,high,yes,medium,medium,low,high,yes
A37,high,apartment,small,experienced,low,yes,no,medium,no,medium,yes,medium,medium,medium,high,yes
A38,medium,apartment,large,intermediate,high,yes,no,high,no,medium,no,low,high,low,low,yes
A39,high,apartment,large,experienced,high,yes,no,low,no,low,no,high,high,low,low,yes
A40,medium,apartment,medium,intermediate,low,yes,no,low,yes,medium,yes,medium,low,low,high,yes
A41,medium,house,large,intermediate,low,no,no,high,no,medium,no,high,medium,medium,low,no
A42,high,house,large,beginner,high,no,yes,low,yes,low,yes,medium,medium,medium,high,no
A43,high,house,small,beginner,high,yes,yes,low,no,medium,yes,medium,low,medium,low,yes
A44,low,house,small,beginner,high,yes,no,high,yes,low,yes,medium,medium,medium,high,yes
A45,high,house,small,intermediate,medium,no,yes,medium,no,high,no,low,low,low,low,no
A46,high,apartment,small,intermediate,high,no,yes,medium,yes,high,yes,medium,medium,medium,medium,yes
A47,high,house,large,intermediate,medium,yes,yes,medium,yes,low,no,medium,low,medium,low,no
A48,high,house,large,intermediate,high,no,no,low,yes,high,no,medium,low,high,high,yes
A49,medium,apartment,small,beginner,low,no,yes,high,no,low,no,medium,medium,high,medium,no
A50,high,house,small,intermediate,high,no,no,medium,yes,high,no,low,medium,low,low,no
A51,medium,apartment,small,intermediate,medium,yes,no,low,no,low,no,high,medium,low,low,yes
A52,medium,house,large,experienced,medium,yes,no,low,yes,high,no,low,medium,medium,medium,yes
A53,high,apartment,large,experienced,medium,yes,yes,high,yes,medium,no,high,low,low,low,yes
A54,medium,apartment,medium,beginner,medium,no,no,medium,yes,high,yes,high,low,low,low,yes
A55,medium,apartment,small,experienced,low,no,yes,medium,yes,medium,no,low,medium,medium,low,no
A56,high,house,large,experienced,low,yes,no,medium,no,medium,no,low,high,high,low,yes
A57,medium,house,small,beginner,low,no,no,medium,yes,medium,yes,high,high,low,medium,yes
A58,low,apartment,medium,experienced,high,no,no,medium,no,medium,yes,medium,high,low,high,no
A59,high,house,small,experienced,low,yes,yes,low,no,high,yes,medium,low,low,high,no
A60,medium,apartment,small,experienced,low,no,no,high,yes,high,no,low,high,high,high,yes
A61,medium,apartment,small,beginner,low,no,no,medium,no,high,no,high,medium,high,medium,no
A62,low,apartment,large,beginner,medium,yes,no,low,no,medium,no,medium,high,high,high,no
A63,medium,house,medium,intermediate,medium,no,no,low,no,medium,yes,medium,medium,low,high,yes
A64,high,apartment,small,beginner,medium,yes,yes,high,no,medium,yes,medium,high,low,medium,yes
A65,low,house,small,beginner,low,yes,no,low,yes,high,no,medium,high,low,low,yes
A66,high,apartment,small,intermediate,high,no,yes,medium,yes,low,no,low,medium,high,medium,no
A67,medium,house,large,intermediate,low,yes,yes,low,yes,high,no,medium,medium,high,medium,yes
A68,low,apartment,large,experienced,medium,yes,no,medium,yes,low,no,low,low,high,low,no
A69,medium,house,small,beginner,medium,no,yes,medium,yes,low,no,medium,medium,low,medium,yes
A70,medium,house,medium,intermediate,medium,yes,yes,low,no,medium,yes,low,high,high,low,yes
A71,medium,house,large,beginner,low,yes,yes,low,no,medium,yes,low,high,low,high,yes
A72,low,apartment,large,beginner,low,yes,no,high,no,medium,no,high,low,high,high,no
A73,low,apartment,large,beginner,high,no,yes,high,no,low,yes,medium,high,high,high,yes
A74,high,house,small,intermediate,high,yes,no,high,yes,low,yes,medium,medium,low,high,no
A75,low,house,large,intermediate,medium,yes,no,low,no,low,no,high,high,low,medium,yes
A76,medium,house,medium,intermediate,low,yes,no,high,no,medium,yes,medium,high,low,low,no
A77,medium,apartment,medium,beginner,medium,yes,yes,high,no,low,no,low,low,high,high,no
A78,low,house,small,intermediate,medium,no,yes,low,no,medium,yes,medium,medium,medium,medium,no
A79,high,apartment,large,intermediate,medium,no,no,high,no,high,no,high,low,low,high,no
A80,medium,apartment,medium,beginner,low,no,no,medium,no,low,yes,medium,low,high,high,no
A81,low,house,medium,beginner,low,no,no,low,no,medium,yes,low,medium,high,low,yes
A82,medium,apartment,large,intermediate,high,yes,yes,low,no,low,yes,low,medium,medium,medium,yes
A83,low,house,large,beginner,high,no,yes,low,no,medium,yes,low,medium,medium,high,no
A84,high,apartment,small,intermediate,high,yes,no,low,no,medium,yes,medium,high,high,low,yes
A85,medium,house,large,beginner,medium,yes,no,high,no,medium,no,high,low,low,high,no
